Total Pressure [bar], Mole Fraction Gas 1, Mole Fraction Gas 2, Partial Pressure Gas 1, Partial Pressure Gas 2, loading Gas 1 [mmol/g], loading Gas 2 [mmol/g], Selectivity 
5.0,0.05,0.95,0.25,4.75,0.357322763088931,2.3897505604858695,2.840937715821422,
5.0,0.1,0.9,0.5,4.5,0.8049016060067288,2.4209926555522596,2.9922083561249315,
5.0,0.2,0.8,1.0,4.0,1.9715637417119618,2.378622331898323,3.315471674964899,
5.0,0.3,0.7,1.5,3.5,3.4107634595994964,2.1852505705261747,3.6418926871542032,
5.0,0.4,0.6,2.0,3.0,4.948852669558534,1.8823049252027175,3.9437175693190842,
5.0,0.5,0.5,2.5,2.5,6.443446544182766,1.5321759835303723,4.2054219707425915,
5.0,0.6,0.4,3.0,2.0,7.826014656862344,1.1793142469531381,4.424048228073526,
5.0,0.7,0.30000000000000004,3.5,1.5000000000000002,9.078735247706032,0.8451928266813018,4.603548932151905,
5.0,0.8,0.19999999999999996,4.0,0.9999999999999998,10.20614661376982,0.537155200059416,4.750092064938072,
5.0,0.9,0.09999999999999998,4.5,0.4999999999999999,11.219937931132598,0.25600034299655294,4.869758202404558,
5.0,0.95,0.050000000000000044,4.75,0.2500000000000002,11.688244843416667,0.12500476099290508,4.921178812280375,
10.0,0.05,0.95,0.5,9.5,0.9710467793133748,4.580889737342868,4.027577580956124,
10.0,0.1,0.9,1.0,9.0,2.1068286182629863,4.484132273294582,4.228567849635603,
10.0,0.2,0.8,2.0,8.0,4.59169205296638,4.018459082030491,4.570599783881576,
10.0,0.3,0.7,3.0,7.0,6.993758461785803,3.3811925635870503,4.82633551247805,
10.0,0.4,0.6,4.0,6.0,9.111424265202073,2.7282433937505144,5.009500409351274,
10.0,0.5,0.5,5.0,5.0,10.913942223179866,2.123819686052128,5.138827130596617,
10.0,0.6,0.4,6.0,4.0,12.43212465206965,1.5848198576430959,5.229668887229615,
10.0,0.7,0.30000000000000004,7.0,3.0000000000000004,13.71003376216633,1.1100836019165188,5.293050672102453,
10.0,0.8,0.19999999999999996,8.0,1.9999999999999996,14.789301129651074,0.6928215346591892,5.336620034813937,
10.0,0.9,0.09999999999999998,9.0,0.9999999999999998,15.705262870328067,0.32522049697681127,5.365680281641819,
10.0,0.95,0.050000000000000044,9.5,0.5000000000000004,16.111266743613676,0.15773152257392178,5.3759793459244225,
20.0,0.05,0.95,1.0,19.0,2.0693687819941706,7.9696955714468,4.933438988404364,
20.0,0.1,0.9,2.0,18.0,4.148837534313795,7.359080797843759,5.073940460032019,
20.0,0.2,0.8,4.0,16.0,7.84014105461389,5.9682651552022845,5.254552772528862,
20.0,0.3,0.7,6.0,14.0,10.722198909803067,4.679246935849571,5.3466860086390025,
20.0,0.4,0.6,8.0,12.0,12.906687749386894,3.5935015651016218,5.387511671650782,
20.0,0.5,0.5,10.0,10.0,14.566947293630154,2.6984573849522246,5.398249894499652,
20.0,0.6,0.4,12.0,8.0,15.844679219359975,1.95943353427744,5.390904715463375,
20.0,0.7,0.30000000000000004,14.0,6.000000000000001,16.842843576825306,1.3435827203587254,5.372472735432241,
20.0,0.8,0.19999999999999996,16.0,3.999999999999999,17.634325979232326,0.8244684209888666,5.347180537879707,
20.0,0.9,0.09999999999999998,18.0,1.9999999999999996,18.270792646180613,0.3817629923709461,5.3176659664938875,
20.0,0.95,0.050000000000000044,19.0,1.0000000000000009,18.542901514730445,0.18407474956149839,5.301879738044988,
30.0,0.05,0.95,1.5,28.5,2.8503851883874733,10.325407921900496,5.2450536568625745,
30.0,0.1,0.9,3.0,27.0,5.427285570164882,9.177505697107648,5.322314335024379,
30.0,0.2,0.8,6.0,24.0,9.49500195881354,7.045787529926573,5.390456024104656,
30.0,0.3,0.7,9.0,21.0,12.337512401483375,5.335827665632151,5.3951384378873115,
30.0,0.4,0.6,12.0,18.0,14.338147978499078,4.005689084171681,5.369169078232642,
30.0,0.5,0.5,15.0,15.0,15.781623663247858,2.9619059864746844,5.328198712353946,
30.0,0.6,0.4,18.0,12.0,16.851694985224633,2.1277123151629618,5.280066879070839,
30.0,0.7,0.30000000000000004,21.0,9.000000000000002,17.665328074798705,1.4478894444197925,5.228890174161942,
30.0,0.8,0.19999999999999996,24.0,5.999999999999998,18.298225715488005,0.8836470139884064,5.176904755468364,
30.0,0.9,0.09999999999999998,27.0,2.999999999999999,18.80059340824499,0.40757335644154463,5.125346861180154,
30.0,0.95,0.050000000000000044,28.5,1.5000000000000013,19.013953438348498,0.19622413631463115,5.099955644026493,
40.0,0.05,0.95,2.0,38.0,3.3842409836414564,11.99025454122733,5.362736751592417,
40.0,0.1,0.9,4.0,36.0,6.221769682759333,10.383356573297183,5.39285410739321,
40.0,0.2,0.8,8.0,32.0,10.375755729362574,7.704797265484952,5.386646979456639,
40.0,0.3,0.7,12.0,28.0,13.091982390860911,5.722160459624535,5.3385358777606235,
40.0,0.4,0.6,16.0,24.0,14.929476845344364,4.245852723996425,5.274374012421681,
40.0,0.5,0.5,20.0,20.0,16.223952552721766,3.116982640233808,5.205018578962888,
40.0,0.6,0.4,24.0,16.0,17.170492627916435,2.2290912659368423,5.135274297737953,
40.0,0.7,0.30000000000000004,28.0,12.000000000000002,17.885417817109833,1.5126722376144408,5.0673099392397205,
40.0,0.8,0.19999999999999996,32.0,7.999999999999998,18.44068718176825,0.9216524870096244,5.002071670636006,
40.0,0.9,0.09999999999999998,36.0,3.999999999999999,18.88247209106819,0.4247144070639877,4.939913550535708,
40.0,0.95,0.050000000000000044,38.0,2.0000000000000018,19.070807259709756,0.20442434920043334,4.910015376374421,
50.0,0.05,0.95,2.5,47.5,3.7491021411229943,13.19836300832177,5.397104219396256,
50.0,0.1,0.9,5.0,45.0,6.722934987856342,11.221449545803658,5.392031986931126,
50.0,0.2,0.8,10.0,40.0,10.859663552964719,8.143761809408996,5.333978968008554,
50.0,0.3,0.7,15.0,35.0,13.454871852622642,5.9785889641616246,5.251189064450979,
50.0,0.4,0.6,20.0,30.0,15.173858024475031,4.408437299433274,5.16300572986227,
50.0,0.5,0.5,25.0,25.0,16.373184343994087,3.2253188925613676,5.076454418741652,
50.0,0.6,0.4,30.0,20.0,17.24783797054502,2.3024417614008,4.994071441804599,
50.0,0.7,0.30000000000000004,35.0,15.000000000000002,17.90977076878746,1.5611550425768383,4.916626366012118,
50.0,0.8,0.19999999999999996,40.0,9.999999999999998,18.426509580886208,0.9509641614541815,4.84416509259114,
50.0,0.9,0.09999999999999998,45.0,4.999999999999999,18.840628252979236,0.438276821719637,4.776440449226064,
50.0,0.95,0.050000000000000044,47.5,2.500000000000002,19.018320808445832,0.21098492469642569,4.744245374480326,
